user_id,join_date,country,device_type,subscription_type
u342224,2020-02-06,DE,Mac,enterprise
u445660,2021-02-18,AU,iPad,basic
u992710,2021-03-09,AU,Windows,basic
u546635,2021-07-13,AU,Windows,basic
u521225,2021-10-01,US,Mac,free
u096032,2020-03-28,AU,Windows,premium
u488219,2022-07-14,IN,Android Phone,basic
u163594,2021-11-26,MX,Mac,free
u068987,2023-08-05,BR,Android Phone,basic
u237058,2023-03-12,UK,iPhone,basic
u063810,2022-10-12,IN,iPad,free
u834196,2022-11-12,UK,Android Phone,free
u285353,2022-11-22,MX,iPhone,free
u949834,2022-04-17,IN,Mac,basic
u920380,2020-08-18,IN,iPad,premium
u407023,2022-05-19,FR,Android Tablet,enterprise
u383162,2020-09-23,UK,Mac,premium
u521668,2023-04-11,JP,Android Phone,free
u300687,2020-06-10,IN,iPhone,enterprise
u051148,2022-09-11,MX,Android Phone,premium
u664345,2022-07-09,IN,Mac,enterprise
u168979,2022-07-22,IN,Windows,basic
u349572,2021-08-21,UK,Android Phone,free
u156720,2021-06-03,AU,Mac,enterprise
u521792,2020-12-09,JP,Android Tablet,premium
u108644,2023-11-02,CA,iPhone,premium
u627212,2020-02-10,US,Mac,premium
u784507,2021-05-08,MX,Android Phone,free
u053095,2020-05-15,UK,iPad,free
u159120,2021-01-28,JP,Mac,free
u282775,2021-02-23,DE,Android Tablet,enterprise
u044487,2022-11-16,BR,Mac,enterprise
u014679,2023-05-03,AU,iPad,enterprise
u057946,2021-04-30,AU,Android Tablet,free
u066894,2023-05-29,IN,Mac,basic
u887769,2023-07-06,IN,Windows,free
u861643,2020-09-16,BR,iPhone,premium
u025091,2023-03-18,JP,Windows,basic
u159764,2023-03-16,FR,Mac,basic
u509907,2023-01-19,CA,Android Tablet,enterprise
u836601,2020-02-25,CA,iPad,enterprise
u422281,2020-09-18,BR,Android Tablet,basic
u986132,2020-08-20,IN,Windows,enterprise
u168616,2021-03-03,MX,Android Phone,premium
u364199,2020-06-11,AU,iPad,enterprise
u219358,2022-01-06,US,Mac,enterprise
u216228,2020-10-14,US,iPhone,enterprise
u217242,2022-11-30,BR,Android Tablet,premium
u467762,2022-03-18,AU,Android Phone,enterprise
u487030,2021-07-07,IN,Android Phone,premium
u626531,2020-05-21,FR,Windows,free
u130889,2020-01-10,JP,Windows,premium
u256209,2021-04-14,BR,iPhone,enterprise
u204495,2020-08-26,CA,iPad,enterprise
u982601,2023-09-30,JP,Android Phone,enterprise
u859520,2022-01-30,US,iPad,free
u656795,2020-11-13,CA,Android Phone,free
u445867,2023-09-06,AU,Android Phone,enterprise
u702759,2021-01-03,UK,Mac,enterprise
u938188,2023-11-25,CA,Mac,enterprise
u901041,2021-08-09,FR,iPhone,basic
u244001,2023-06-24,MX,Android Phone,premium
u858139,2021-08-06,CA,Mac,basic
u825748,2020-09-08,BR,iPhone,basic
u018099,2021-02-05,UK,Android Phone,free
u369536,2023-02-01,CA,Android Phone,free
u455265,2021-06-03,CA,iPhone,premium
u317630,2022-05-16,AU,Android Tablet,premium
u637602,2021-06-04,CA,Android Tablet,basic
u334886,2020-08-17,MX,Mac,premium
u218077,2022-11-28,IN,Android Phone,free
u685936,2021-03-06,AU,iPad,enterprise
u355248,2021-01-14,MX,Mac,basic
u463634,2022-10-27,AU,Mac,basic
u975209,2021-08-23,CA,iPad,basic
u439470,2020-01-10,FR,Windows,free
u339230,2021-02-22,DE,iPad,basic
u801023,2022-04-22,IN,iPad,basic
u136090,2023-10-02,JP,iPhone,free
u590176,2022-01-14,IN,iPhone,enterprise
u303754,2021-08-27,US,Windows,enterprise
u259860,2023-07-27,MX,Android Phone,enterprise
u806190,2023-01-05,US,Mac,basic
u566064,2020-01-29,AU,Android Phone,basic
u433291,2021-03-10,CA,Mac,enterprise
u701419,2021-05-30,BR,Android Tablet,enterprise
u506588,2023-08-25,AU,Android Phone,premium
u389215,2022-06-26,JP,Android Tablet,enterprise
u885158,2020-10-06,BR,Android Tablet,basic
u770091,2021-06-07,AU,iPhone,premium
u284238,2023-01-12,FR,Android Tablet,premium
u557334,2022-12-29,JP,iPad,basic
u932894,2023-07-14,DE,Android Tablet,basic
u177451,2021-10-25,UK,Android Tablet,enterprise
u795236,2021-10-06,CA,Android Phone,premium
u409540,2021-07-23,US,iPad,free
u604514,2020-06-14,US,Android Tablet,enterprise
u251106,2023-10-05,UK,iPad,basic
u213433,2021-08-04,UK,Mac,premium
u231480,2023-11-20,JP,iPad,free
u680618,2022-04-06,JP,Android Tablet,free
u172535,2022-01-24,MX,iPad,free
u308413,2023-12-23,AU,iPhone,basic
u775073,2020-10-06,UK,iPhone,premium
u828467,2022-06-07,MX,iPad,premium
u353069,2022-12-18,FR,Windows,enterprise
u818310,2023-12-06,DE,Windows,free
u852666,2021-04-06,US,Android Phone,premium
u141026,2021-10-26,UK,Android Tablet,premium
u583214,2020-01-20,AU,iPad,free
u099643,2023-11-13,UK,iPad,premium
u373022,2023-12-12,BR,iPad,enterprise
u425990,2021-08-20,US,iPad,enterprise
u838683,2022-09-27,FR,iPad,free
u788387,2020-06-22,MX,iPhone,basic
u762417,2023-10-26,DE,Windows,basic
u494327,2020-05-19,BR,Windows,free
u407750,2023-10-13,MX,Mac,enterprise
u742214,2023-02-05,BR,iPhone,basic
u926655,2023-12-08,MX,Android Tablet,premium
u481944,2022-10-28,UK,iPhone,free
u499557,2022-02-20,AU,iPad,enterprise
u555004,2021-11-22,CA,iPhone,basic
u128679,2023-01-20,AU,iPad,premium
u384071,2022-10-05,AU,Mac,enterprise
u530495,2023-10-04,AU,iPhone,basic
u491610,2020-07-01,CA,Android Phone,enterprise
u151332,2022-12-11,UK,Android Tablet,free
u410374,2020-11-09,IN,iPad,free
u609619,2020-05-28,FR,Windows,premium
u528864,2023-12-01,US,Android Phone,free
u135451,2021-01-12,FR,iPhone,enterprise
u217656,2022-04-04,US,iPad,enterprise
u725347,2022-07-13,AU,iPhone,basic
u708010,2021-06-10,MX,Android Tablet,free
u732978,2020-08-24,CA,Mac,basic
u849030,2022-07-19,MX,Android Phone,premium
u873972,2021-09-25,DE,Windows,premium
u676695,2022-12-17,IN,iPad,enterprise
u548993,2021-12-12,US,iPad,premium
u011413,2023-08-18,AU,Mac,premium
u946898,2021-11-27,BR,Windows,basic
u969419,2022-12-09,AU,iPad,premium
u437351,2023-10-08,MX,iPhone,enterprise
u630560,2023-08-30,MX,Android Phone,enterprise
u173289,2023-01-15,FR,Android Tablet,premium
u145358,2020-06-27,CA,Mac,basic
u279777,2021-12-08,CA,iPhone,free
u807314,2022-10-27,DE,iPad,enterprise
u613932,2021-07-10,US,Mac,enterprise
u809704,2023-12-23,US,Android Tablet,basic
u224467,2023-09-27,MX,Android Tablet,free
u982762,2021-12-07,AU,Mac,enterprise
u779419,2021-01-03,AU,iPhone,enterprise
u071160,2021-08-07,UK,Mac,free
u959985,2020-03-24,US,Mac,premium
u449844,2020-05-13,FR,Mac,premium
u627566,2023-05-04,BR,Android Phone,enterprise
u572231,2021-11-13,CA,iPhone,premium
u591705,2023-10-13,BR,Android Tablet,free
u791968,2023-12-11,AU,Windows,basic
u397943,2020-11-11,UK,Android Tablet,premium
u959142,2020-01-31,UK,Android Phone,enterprise
u936143,2020-07-31,CA,Android Tablet,basic
u750834,2021-07-04,FR,iPad,enterprise
u701826,2023-05-21,AU,iPad,basic
u801919,2020-02-05,UK,iPhone,enterprise
u282438,2020-01-29,CA,Windows,basic
u841369,2021-08-31,AU,iPad,enterprise
u864639,2023-05-11,AU,Android Tablet,free
u379766,2023-05-16,MX,iPhone,basic
u645105,2021-07-10,JP,iPhone,basic
u632005,2021-03-14,JP,Android Tablet,enterprise
u563631,2021-10-30,AU,iPhone,enterprise
u375455,2023-01-08,JP,Android Tablet,basic
u916985,2020-04-24,BR,Windows,premium
u305651,2020-11-13,IN,iPhone,premium
u870303,2022-04-02,MX,Mac,enterprise
u902930,2023-12-11,BR,iPad,free
u943926,2020-04-06,FR,Android Phone,free
u419227,2022-09-29,AU,Windows,free
u313134,2023-03-24,IN,Windows,enterprise
u448379,2020-03-04,US,Windows,free
u691992,2021-08-27,CA,iPad,free
u558559,2020-02-29,AU,Windows,free
u488340,2023-05-04,UK,Android Phone,basic
u943729,2022-07-12,JP,iPhone,basic
u415734,2021-04-02,DE,Mac,basic
u814434,2021-09-20,BR,Android Tablet,enterprise
u529959,2020-01-20,IN,iPhone,basic
u231539,2021-12-26,BR,Android Tablet,enterprise
u362449,2020-07-27,US,iPhone,enterprise
u933837,2023-07-14,DE,iPad,basic
u586152,2021-08-25,US,Mac,free
u703610,2020-03-28,CA,iPad,basic
u472043,2021-11-28,BR,Android Tablet,basic
u344876,2023-03-11,BR,Mac,enterprise
u363388,2020-09-27,CA,iPhone,free
u004835,2020-01-14,UK,Android Phone,basic
u266360,2022-06-26,UK,Mac,free
u279996,2022-02-24,CA,Windows,basic
u638946,2022-12-21,CA,Mac,enterprise
u266918,2020-03-19,MX,Android Tablet,basic
u088181,2021-12-10,CA,iPad,free
u688499,2021-07-17,DE,iPhone,premium
u364081,2022-08-17,IN,iPad,enterprise
u430080,2022-02-23,DE,Mac,premium
u258505,2021-11-19,AU,Android Phone,basic
u322880,2021-12-18,AU,iPad,premium
u135144,2023-08-05,IN,iPhone,premium
u122141,2022-07-31,UK,Android Tablet,premium
u484795,2020-04-20,CA,Android Phone,basic
u913630,2022-03-28,CA,Mac,enterprise
u072868,2021-11-30,IN,Android Phone,free
u337137,2021-07-25,CA,Android Tablet,enterprise
u766321,2020-10-31,IN,Windows,enterprise
u139304,2022-07-13,FR,Android Phone,premium
u998883,2022-03-16,BR,iPad,premium
u779117,2020-07-08,BR,Windows,enterprise
u011763,2023-10-28,BR,Mac,premium
u790291,2023-05-15,CA,Android Tablet,premium
u851850,2021-01-02,CA,Mac,premium
u623278,2020-01-18,FR,iPad,basic
u544424,2021-02-19,UK,iPhone,enterprise
u791841,2022-02-12,UK,iPhone,basic
u140993,2020-07-12,JP,Mac,free
u481525,2023-03-06,CA,Android Phone,basic
u598045,2020-01-27,CA,Mac,premium
u514642,2022-10-11,US,Mac,free
u536311,2023-01-25,AU,Android Tablet,enterprise
u099226,2021-08-08,US,Mac,enterprise
u905355,2021-03-22,AU,iPhone,premium
u742828,2022-02-23,CA,iPhone,premium
u472687,2023-07-29,US,Windows,free
u498612,2021-09-17,UK,iPhone,enterprise
u805814,2023-06-20,JP,Mac,premium
u905783,2021-12-16,UK,Android Tablet,premium
u064982,2020-10-25,US,iPad,premium
u846391,2022-10-10,CA,Mac,enterprise
u961442,2020-01-13,UK,iPhone,premium
u054961,2023-06-30,FR,Android Tablet,enterprise
u278982,2021-11-21,CA,Mac,premium
u850018,2021-03-09,BR,iPhone,free
u614619,2022-01-06,AU,Mac,free
u459755,2022-11-01,DE,Android Phone,enterprise
u452803,2020-12-16,US,Mac,free
u681430,2022-12-19,FR,Android Phone,enterprise
u356282,2023-12-24,US,Android Phone,premium
u533268,2022-02-23,FR,iPhone,free
u341126,2021-04-23,CA,Android Tablet,enterprise
u759195,2023-04-23,MX,iPad,basic
u116558,2021-03-15,IN,Mac,enterprise
u548442,2022-10-27,FR,iPhone,premium
u961420,2022-12-19,UK,Android Tablet,free
u307433,2022-04-05,CA,Mac,free
u091953,2021-10-15,FR,iPad,free
u337688,2023-06-17,DE,Android Phone,enterprise
u687740,2021-06-13,JP,iPhone,basic
u177289,2021-03-12,DE,Windows,premium
u360096,2021-04-09,AU,Android Phone,enterprise
u610741,2020-09-05,UK,iPad,basic
u620226,2020-07-03,FR,iPhone,basic
u754614,2021-01-09,IN,iPhone,free
u590552,2022-05-31,US,Windows,enterprise
u959914,2023-07-26,AU,Android Phone,free
u921262,2020-02-29,DE,Android Tablet,premium
u674940,2020-10-15,AU,Android Tablet,premium
u242987,2020-04-15,CA,Windows,free
u441823,2022-12-08,US,iPad,free
u000548,2022-09-10,JP,iPad,enterprise
u441083,2023-10-20,MX,iPhone,enterprise
u350825,2020-05-26,CA,Android Tablet,basic
u222573,2021-11-04,BR,iPhone,free
u550623,2023-05-19,UK,Windows,free
